TimeStep,Probe1_Ez,Probe2_Ez
886,-0.017449,-0.0145013
887,-0.0166717,-0.0182643
888,-0.0172845,-0.0204888
889,-0.0196436,-0.0199208
890,-0.023418,-0.0161405
891,-0.027619,-0.00969797
892,-0.0308506,-0.00194327
893,-0.0316824,0.00545043
894,-0.0290163,0.0111105
895,-0.0223432,0.0144677
896,-0.0118454,0.015905
897,0.00164775,0.0164944
898,0.0168171,0.0174798
899,0.032086,0.0197749
900,0.0458899,0.0236935
901,0.0569363,0.0289585
902,0.0643931,0.0348782
903,0.0679513,0.0405365
904,0.0677445,0.0449243
905,0.0641656,0.0470459
906,0.0576754,0.0460774
907,0.048698,0.0415852
908,0.0376562,0.0337127
909,0.0251137,0.0232065
910,0.0119315,0.0112276
911,-0.000675053,-0.000968126
912,-0.0112454,-0.0123101
913,-0.01834,-0.0220174
914,-0.0208831,-0.0295272
915,-0.018468,-0.0343787
916,-0.0115213,-0.0362009
917,-0.00126891,-0.0348485
918,0.0104941,-0.030581
919,0.0217745,-0.0241233
920,0.0307945,-0.0165199
921,0.036339,-0.00885528
922,0.037943,-0.00202143
923,0.0358809,0.00332099
924,0.0309815,0.00659817
925,0.0243491,0.00716824
926,0.0170894,0.00436134
927,0.0101107,-0.00221338
928,0.00402653,-0.0122338
929,-0.000857697,-0.0243824
930,-0.00450768,-0.0364553
931,-0.00709365,-0.0459009
932,-0.00890364,-0.0505935
933,-0.010245,-0.0495191
934,-0.0113566,-0.0430907
935,-0.0123625,-0.0329873
936,-0.013287,-0.0216
937,-0.0141134,-0.0112947
938,-0.0148429,-0.00373091
939,-0.015505,0.000568629
940,-0.0161096,0.00227137
941,-0.0165785,0.00288696
942,-0.0167189,0.00411248
943,-0.016282,0.00709457
944,-0.0150916,0.0119064
945,-0.0131737,0.0174892
946,-0.010806,0.0221205
947,-0.0084442,0.0242133
948,-0.00654804,0.0230688
949,-0.00538839,0.0192087
950,-0.00492621,0.0141284
951,-0.00482509,0.00961433
952,-0.00459917,0.0069894
953,-0.00384218,0.00666053
954,-0.00244644,0.00814364
955,-0.000716735,0.0104711
956,0.000687411,0.0127033
957,0.000987072,0.0142689
958,-0.000373213,0.0150126
959,-0.00340876,0.0150213
960,-0.00745294,0.0144014
961,-0.0112841,0.0131571
962,-0.0135037,0.0112126
963,-0.0130291,0.00851998
964,-0.0095029,0.00516242
965,-0.00344714,0.00139907
966,0.00389659,-0.00235347
967,0.01097,-0.0055779
968,0.0163812,-0.00773696
969,0.0192965,-0.00838214
970,0.0196277,-0.0072907
971,0.01799,-0.00460216
972,0.015473,-0.000893195
973,0.0133049,0.00287222
974,0.0124942,0.00554071
975,0.0135375,0.0060764
976,0.0162704,0.00388438
977,0.0199182,-0.000958534
978,0.0233498,-0.00765288
979,0.0254613,-0.014841
980,0.0255531,-0.0209592
981,0.023552,-0.0246855
982,0.0199848,-0.0253434
983,0.0157219,-0.0231106
984,0.011613,-0.0189296
985,0.00818353,-0.0141273
986,0.00552041,-0.00988484
987,0.00337218,-0.0067872
988,0.00138104,-0.0046673
989,-0.000691073,-0.00282378
990,-0.00285563,-0.000499064
991,-0.00494154,0.00263856
992,-0.00673369,0.00627012
993,-0.00810649,0.00957509
994,-0.00907264,0.011658
995,-0.00973126,0.0120009
996,-0.0101644,0.0106878
997,-0.0103594,0.00829133
998,-0.0102131,0.0055199
999,-0.00962356,0.00285417
1000,-0.00861938,0.000391297
1001,-0.00745403,-0.00202995
1002,-0.00660356,-0.00452887
1003,-0.00664971,-0.00691593
1004,-0.00808269,-0.00863934
1005,-0.0110987,-0.00899083
1006,-0.0154763,-0.00746331
1007,-0.0205878,-0.00406722
1008,-0.0255478,0.000564118
1009,-0.0294384,0.00534187
1010,-0.0315245,0.0090923
1011,-0.0313834,0.0109716
1012,-0.0289279,0.0107524
1013,-0.0243629,0.00887073
1014,-0.0181352,0.0062216
1015,-0.0109099,0.00379519
1016,-0.00354612,0.00230476
1017,0.00299543,0.00195704
1018,0.00785813,0.00245195
1019,0.010571,0.0031974
1020,0.0112812,0.00363007
1021,0.0107853,0.00348725
1022,0.010283,0.00290261
1023,0.0109171,0.0022864
1024,0.013299,0.00205813
1025,0.0172448,0.00237279
1026,0.0218547,0.00298548
1027,0.0258983,0.00333135
1028,0.0283152,0.00279171
1029,0.0286007,0.00102296
1030,0.0269195,-0.00181198
1031,0.0239427,-0.00503136
1032,0.0205257,-0.00766283
1033,0.0173957,-0.00881784
1034,0.014968,-0.00804128
1035,0.0133233,-0.00547097
1036,0.0122964,-0.00173316
1037,0.0115984,0.00236487
